K=200 T=1.0
T=1.0
Clustering x.shape=(116269, 162)
('Original shape:', (116269, 162))
Clustering into 200 categories ...
Initialization complete
Iteration 40, inertia 305.162
Iteration 41, inertia 305.143
Iteration 42, inertia 305.127
Iteration 43, inertia 305.114
Iteration 44, inertia 305.101
Iteration 45, inertia 305.088
Iteration 46, inertia 305.073
Iteration 47, inertia 305.057
Iteration 48, inertia 305.042
Iteration 49, inertia 305.027
Iteration 50, inertia 305.011
Iteration 51, inertia 304.997
Iteration 52, inertia 304.984
Iteration 53, inertia 304.972
Iteration 54, inertia 304.962
Iteration 55, inertia 304.953
Iteration 56, inertia 304.945
Iteration 57, inertia 304.938
Iteration 58, inertia 304.930
Iteration 59, inertia 304.922
Iteration 60, inertia 304.914
Iteration 61, inertia 304.904
Iteration 62, inertia 304.896
Iteration 63, inertia 304.889
Iteration 64, inertia 304.882
Iteration 65, inertia 304.875
Iteration 66, inertia 304.869
Iteration 67, inertia 304.864
Iteration 68, inertia 304.859
Iteration 69, inertia 304.854
Iteration 70, inertia 304.851
Iteration 71, inertia 304.847
Iteration 72, inertia 304.844
Iteration 73, inertia 304.840
Iteration 74, inertia 304.837
Iteration 75, inertia 304.833
Iteration 76, inertia 304.829
Iteration 77, inertia 304.826
Iteration 78, inertia 304.823
Iteration 79, inertia 304.822
Iteration 80, inertia 304.820
Iteration 81, inertia 304.817
Iteration 82, inertia 304.815
Iteration 83, inertia 304.813
Iteration 84, inertia 304.811
Iteration 85, inertia 304.808
Iteration 86, inertia 304.804
Iteration 87, inertia 304.798
Iteration 88, inertia 304.793
Iteration 89, inertia 304.787
Iteration 90, inertia 304.780
Iteration 91, inertia 304.774
Iteration 92, inertia 304.768
Iteration 93, inertia 304.763
Iteration 94, inertia 304.759
Iteration 95, inertia 304.757
Iteration 96, inertia 304.754
Iteration 97, inertia 304.752
Iteration 98, inertia 304.750
Iteration 99, inertia 304.749
Iteration 100, inertia 304.747
Iteration 101, inertia 304.746
Iteration 102, inertia 304.744
Iteration 103, inertia 304.742
Iteration 104, inertia 304.741
Iteration 105, inertia 304.739
Iteration 106, inertia 304.737
Iteration 107, inertia 304.736
Iteration 108, inertia 304.734
Iteration 109, inertia 304.732
Iteration 110, inertia 304.730
Iteration 111, inertia 304.728
Iteration 112, inertia 304.726
Iteration 113, inertia 304.725
Iteration 114, inertia 304.723
Iteration 115, inertia 304.721
Iteration 116, inertia 304.720
Iteration 117, inertia 304.719
Iteration 118, inertia 304.718
